date,asset,price,volume,change_percent
2026-01-01,Nifty50,21500.5,120000,0.5
2026-01-01,Bitcoin,42000.0,85000,1.2
2026-01-02,Nifty50,21620.3,135000,0.56
2026-01-02,Bitcoin,43250.0,91000,2.97
2026-01-03,Nifty50,21580.1,110000,-0.19
2026-01-03,Bitcoin,41800.0,78000,-3.35
2026-01-04,Nifty50,21750.8,142000,0.79
2026-01-04,Bitcoin,44500.0,99000,6.46
2026-01-05,Nifty50,21690.2,105000,-0.28
2026-01-05,Bitcoin,43900.0,87000,-1.35
2026-01-06,Nifty50,21810.6,150000,0.55
2026-01-06,Bitcoin,45200.0,102000,2.96
2026-01-07,Nifty50,21875.4,128000,0.30
2026-01-07,Bitcoin,46100.0,95000,1.99
2026-01-08,Nifty50,21790.0,118000,-0.39
2026-01-08,Bitcoin,44800.0,88000,-2.82
